german,english1,english2
Ich habe dieses Buch geschrieben .,I wrote this book .,I wrote this book .
Tom musste eine schwierige Entscheidung treffen .,Tom had to make a difficult decision .,Tom had to make a difficult decision .
"Man hat mir gesagt , man könne sich auf Sie verlassen .",I was told you were reliable .,I was told they could rely on you .
"Ich kann nicht glauben , dass schon Weihnachten ist .",I can 't believe it 's Christmas already .,I can 't believe it 's Christmas .
Tom hat soweit drei Würstchen im Brot gegessen .,Tom has eaten three hot dogs so far .,Tom ate three sausages in the bread .
Es geschahen eine Menge Dinge und mein Zeitplan war durcheinandergewirbelt .,A lot of things happened and my schedule was messed up .,"There were a lot of things going on , and my schedule was twisted ."
"Ich kann nicht glauben , dass du Tom so viel Geld gegeben hast !",I can 't believe you gave Tom that much money .,I can 't believe you gave Tom that much money !
Ich glaube noch an die Liebe .,I still believe in love .,I still believe in love .
Diese Sauce ist ziemlich scharf .,This sauce is quite hot .,This sauce is pretty hot .
"Wir haben noch genug Zeit , um es zu diskutieren .",We still have enough time to discuss it .,We have enough time to discuss it .
Sie haben es allein geschafft .,They were able to do it on their own .,You did it on your own .
Sie wird es sicher mögen .,I 'm sure she 'll like it .,I 'm sure she 'll like it .
"Genieße den Tag . Es ist später , als du denkst .",Enjoy today . It is later than you think .,"Enjoy the day , it 's later than you think ."
Wir gehen gerade fort .,We are just going to leave .,We 're just leaving .
Wie heißt diese Frucht ?,What 's the name of this fruit ?,What 's the name of this fruit ?
Ich habe weniger als fünfzehn .,I have less than fifteen .,I have less than 15 .
"Ich vermute , es tut nichts zur Sache .",I guess it doesn 't matter .,I guess it doesn 't matter .
Tausche es aus .,Replace it .,Change it .
Tom hat sich über meinen Akzent lustig gemacht .,Tom made fun of my accent .,Tom made fun of my accent .
Der Mann schnorrt immer Geld von mir .,The man always cadges money from me .,The man always snorts money from me .
Ich sollte sie besser fragen .,I 'd better ask them .,I should ask her .
Sie ist in Berlin .,She is in Berlin .,She 's in Berlin .
"Er hatte keinen Freund , von dem er das Geld leihen konnte .",He had no friend from whom he could borrow the money .,He had no friend to borrow the money from .
Tom ist auf seinem Zimmer .,Tom is in his room .,Tom 's in his room .
Er ist vom Baum heruntergefallen .,He fell from the tree .,He fell off the tree .
Mein Vater ist noch nicht zuhause .,My father isn 't home yet .,My father 's not home yet .
"Mein Großvater machte es sich zur Regel , vor dem Frühstück spazieren zu gehen .",My grandfather made it a rule to take a walk before breakfast .,My grandfather made it the rule to take a walk before breakfast .
"Tom hat mir nicht gesagt , dass du hier bist .",Tom didn 't tell me you were here .,Tom didn 't tell me you were here .
Es fiel auseinander .,It came apart .,It fell apart .
"Ich bin so glücklich , glücklicher geht es kaum .",I am as happy as can be .,"I 'm so happy , I can 't be happier ."
Toms Haus brannte ab .,Tom 's house burned down .,Tom 's house burned down .
Ich vermisse euch .,I miss you guys .,I miss you .
Befindet sich das Hotel nahe am Flughafen ?,Is the hotel close to the airport ?,Is the hotel close to the airport ?
"Ich mag es , wenn Tom das macht .",I like it when Tom does that .,I like it when Tom does that .
Ich persönlich habe nichts dagegen .,I personally don 't have anything against it .,I personally have nothing to do with it .
War es ein Unfall ?,Was it an accident ?,Was it an accident ?
Morgen geht ' s ab in die Türkei .,I 'm off to Turkey tomorrow .,We 're going to Turkey tomorrow .
Du bist unglaublich naiv .,You 're incredibly naive .,You 're incredibly naive .
Mayuko hat die ganzen Kekse aufgegessen .,Mayuko ate up all the cookies .,Mayuko ate all the cookies .
"Godwins Gesetz lehrt uns , dass jede unendliche Diskussion über ein beliebiges Thema gegen einen Nazivergleich konvergiert .",Godwin 's law teaches us that any infinite discussion about an arbitrary subject converges to a Nazi comparison .,Godwin 's law teaches us that any infinite discussion about any subject converges against a Nazi comparison .
Der Thekenmann warf Tom aus der Kneipe .,The bartender kicked Tom out of the bar .,The counter man threw Tom out of the bar .
Schreib bitte deine Heimatadresse auf .,Please write down your home address .,Please write down your home address .
"Ich weiß auch nicht , wer das ist .",I have no idea who that is either .,I don 't know who that is either .
"Du hast Freunde , die dir helfen können , oder ?","You have friends who can help you , don 't you ?","You have friends who can help you , right ?"
Kann ich Sie sprechen ?,Can I talk to you ?,Can I talk to you ?
Tom möchte sich jetzt nicht mit diesem Problem abgeben .,Tom doesn 't want to deal with this problem now .,Tom doesn 't want to deal with this problem now .
Ich hätte gerne pünktlich um 8 Frühstück auf meinem Zimmer .,I 'd like breakfast in my room at 8 sharp .,I 'd like to have breakfast in my room on time for 8 .
Regnete es in Boston ?,Was it raining in Boston ?,Did it rain in Boston ?
Tom las die Nutzungsbedingungen .,Tom read the terms of use .,Tom read the terms of use .
Das ist alles deine Schuld .,All of this is because of you .,This is all your fault .
Im Sommer ist es sehr heiß in Kyōto .,It 's hot in Kyoto in the summer .,In summer it is very hot in Kyōto .
Setz dich !,Take a seat .,Sit down !
Wie schaut es mit Toms EDV @-@ Kenntnissen aus ?,What 's Tom 's computer literacy like ?,What about Tom 's computer skills ?
Tom und Maria luden Johannes und Elke zu ihrer Hochzeitsfeier ein .,Tom and Mary invited John and Alice to their wedding .,Tom and Maria invited John and Elke to their wedding party .
Sie können sich meiner Unterstützung sicher sein .,I assure you of my support .,You can be sure of my support .
Willst du etwas Besonders hören ?,Is there something in particular that you want to hear ?,Do you want to hear something special ?
"Wenn ich einmal groß bin , möchte ich so sein wie du .","When I grow up , I want to be just like you .","When I grow up , I want to be like you ."
"Ein alter Mann betrat die alte Kirche mit seinem älteren Sohn , seiner jüngeren Tochter und deren kleinem Säugling .","An old man entered the old church with his elder son , his younger daughter and her little baby .","An old man entered the old church with his older son , his younger daughter and their little baby ."
"Ich wette , das hast du nicht gewusst !",I bet you didn 't know that .,I bet you didn 't know that !
Das können wir auch nicht tun .,We can 't do that either .,We can 't do that either .
Es wird nachmittags regnen .,It 'll rain in the afternoon .,It will rain in the afternoon .
"Hättest du etwas dagegen , wenn ich hier schliefe ?",Do you mind if I sleep here ?,Would you mind if I slept here ?
"Ich denke mal , dass Tom Maria letztlich doch dazu bringen wird , dass sie ihm erlaubt , sich ein neues Motorrad zu kaufen .",I imagine that Tom will eventually convince Mary to let him buy a new motorcycle .,"I think , after all , Tom will make Maria allow him to buy a new motorcycle ."
Ebenda irrst du .,That 's where you 're wrong .,You 're wrong .
Die Meinung der anderen ist mir egal .,The opinion of others is all the same to me .,I don 't care about the opinion of the others .
Ich bin ein überaus bescheidener Mensch .,I 'm an extremely humble person .,I 'm a very humble person .
Können Sie später noch mal kommen ?,Can you come back later ?,Can you come back later ?
Das Mädchen sagte überhaupt nichts .,The girl didn 't say anything .,The girl didn 't say anything .
"Sie versteckte den Brief sorgsam , damit ihn niemand sehe .",She hid the letter carefully so no one would see it .,She carefully hid the letter so that no one could see it .
"Ist das Wort "" okay "" schon im Vollständigen Illustrierten Wörterbuch ?","Is the word "" okay "" already in the Complete Picture Dictionary ?","Is the word "" okay "" already in the full illustrated dictionary ?"
"Tom spricht in der Schule den ganzen Tag Französisch , Englisch nur daheim .",Tom spends all day speaking French at school and only speaks English at home .,"Tom speaks French at school all day long , English only at home ."
Wir können das ausdiskutieren .,We can talk this through .,We can discuss this .
Tom und Maria scheinen zueinander zu passen .,Tom and Mary seem to be suited for each other .,Tom and Maria seem to fit .
Er schnürte die Last des Pferdes mit einem Seil fest .,He fastened the horse 's pack with a rope .,He fastened the horse 's load with a rope .
"Er kam nicht zurück , weil er Heimweh hatte , sondern weil ihm das Geld ausging .","He came back not because he was homesick , but because he was running short of money .","He didn 't come back because he was homesick , but because he was running out of money ."
Magst du diese Stadt ?,Do you like this city ?,Do you like this town ?
Der Eintrittspreis beinhaltet ein Getränk .,The entrée includes a beverage .,The price includes a drink .
Meine Cousine fährt jedes Jahr in die Karpaten .,My cousin goes to the Carpathians every year .,My cousin goes to the Carpathians every year .
Mit diesem Teil des Themas bin ich nicht vertraut .,I 'm not familiar with this part of the subject .,I am not familiar with this part of the subject .
Brauchst du Hilfe mit deinen Koffern ?,Do you need a hand with your suitcases ?,Do you need help with your suitcases ?
Tom und Mary haben den gleichen Freundeskreis .,Tom and Mary have the same group of friends .,Tom and Mary have the same circle of friends .
Wie kann sie das ertragen ?,How can she stand it ?,How can she take it ?
Er hört nur auf sich selbst .,He doesn 't listen to anybody but himself .,He only listens to himself .
Die Situation wird für mich immer ernster .,The situation is becoming more and more dire for me .,The situation is getting more and more serious for me .
Ich trinke keinen Alkohol .,I don 't drink alcohol .,I don 't drink alcohol .
"Rache ist eine Mahlzeit , die man am besten kalt serviert .",Revenge is a dish best served cold .,Revenge is a meal that is best served cold .
Eure Sachen sind alle hier .,Your things are all here .,Your things are all here .
Ich hasse die Vorschriften .,I hate the rules .,I hate the rules .
Tom wurde für hirntot erklärt .,Tom has been declared brain dead .,Tom was declared brain @-@ dead .
Zeig mir deine Hände .,Show me your hands .,Show me your hands .
Mein Mercedes ist größer als deiner .,My Mercedes is bigger than yours .,My Mercedes is bigger than yours .
"Du tätest besser daran , meinem Rat zu folgen .",You 'd be better off following my advice .,You 'd be better off following my advice .
"Ich wünschte , wir hätten noch eine Flasche Wein gekauft .",I wish we 'd bought another bottle of wine .,I wish we had bought another bottle of wine .
Ich habe Jane neulich getroffen .,I met Jane the other day .,I met Jane the other day .
Über welche Berufserfahrung verfügen Sie ?,What job experience do you have ?,What professional experience do you have ?
Ich stehe in deiner Schuld .,I 'm indebted to you .,I 'm in your debt .
Sie hat mir meine Süßigkeiten gestohlen .,She stole my candy .,She stole my candy .
Die Fenster müssten längst geputzt sein .,The windows should have already been washed .,The windows should have been cleaned by now .
Er hielt bei dem Treffen eine Rede auf Englisch .,He made a speech in English at the meeting .,He gave a speech in English at the meeting .
Jetzt wohne ich in einem sehr kleinen Haus .,I now live in a very small house .,Now I live in a very small house .
"Tom meinte , dass er sich nicht denken könne , dass Maria das wirklich wolle .",Tom said he doesn 't think Mary really wants to do that .,Tom said that he couldn 't think that Maria really wanted to .
Ich habe eine Frage an dich .,I have a question to pose you .,I have a question for you .
Kann ich Ihnen helfen ?,Can I help you ?,Can I help you ?
Der Polizist bedeutete ihm anzuhalten .,The policeman signaled him to stop .,The cop meant to stop him .
Das hat einen sentimentalen Wert .,It has sentimental value .,This has a sentimental value .
Das wissen sie nicht .,They don 't know that .,They don 't know that .
Hallo . Sind Sie Jackie Scott ?,Hello . Are you Jackie Scott ?,"Hello , are you Jackie Scott ?"
Tom und ich gehen jeden Sonntag zusammen in die Kirche .,Tom and I go to church together every Sunday .,Tom and I go to church together every Sunday .
Das Glas ist mit Wasser gefüllt .,The glass is full of water .,The glass is filled with water .
Ich halte dich für sehr talentiert .,I think you 're very talented .,I think you 're very talented .
Tom nahm eines der Bilder in die Hand .,Tom picked up one of the pictures .,Tom took one of the pictures in his hand .
Sie ist außergewöhnlich attraktiv .,She is remarkably attractive .,She 's exceptionally attractive .
Der Geldautomat hat meine EC @-@ Karte geschluckt .,The ATM has swallowed my debit card .,The ATM has swallowed my EC card .
Ich habe diesen Text verstanden .,I understood that text .,I understand that text .
"Der relative Anteil der Morde durch Schusswaffen liegt in den Vereinigten Staaten fünfzehnmal höher als in anderen bevölkerungsreichen , einkommensstarken Ländern .","The U.S. gun homicide rate is 15 times higher than other populous , high income countries .","The relative share of firearms murders is 15 times higher in the United States than in other large , high @-@ income countries ."
Sie gab mir noch eine letzte Chance .,She gave me one last chance .,She gave me one last chance .
Vietnamesisch ist sehr leicht zu erlernen .,Vietnamese is very easy to learn .,Vietnamese is very easy to learn .
Malen war die große Liebe seines Lebens .,Painting was the great love of his life .,Painting was the great love of his life .
Ich habe weder Zeit noch Geld dafür .,I have neither time nor money for that .,I don 't have time or money for it .
""" Ich kann sie nicht einfach anlügen "" . - "" Warum denn nicht ? """,""" I can 't just lie to her . "" "" Why not ? """,""" I can 't just lie to her . "" "" Why not ? """
Lass uns die Arbeit nicht machen .,Let 's not do the work .,Let 's not do the work .
"Wisst ihr , wie Tom zu der Narbe an seinem Kinn kam ?",Do you know how Tom got that scar on his chin ?,You know how Tom got to the scar on his chin ?
"Wovon , meinst du , träumt sie gerade ?",What do you think she 's dreaming about ?,What do you think she 's dreaming about ?
"Wer ist der Herr , mit dem er spricht ?",Who is that gentleman to whom he is speaking ?,Who is the Lord with whom he speaks ?
Die moderne Technik beschert uns vielerlei .,Modern technology gives us many things .,Modern technology gives us many things .
Sein neuer Film ist enttäuschend .,His new film is disappointing .,His new film is disappointing .
Tom schien das nervig zu finden .,Tom seemed to find that annoying .,Tom seemed to find it annoying .
Wie kann ich dir helfen ?,What can I do for you ?,How can I help you ?
"Einige Tiere , zum Beispiel Tiger , fressen Fleisch .","Some animals , such as tigers , eat meat .","Some animals , for example tigers , eat meat ."
Marie ist ein sehr hübsches Mädchen .,Mary is a very pretty girl .,Marie is a very pretty girl .
Was hat du in Deutschland studiert ?,What did you study in Germany ?,What did you study in Germany ?
Auf dieser Insel kann man nicht leben .,You can 't live on that island .,You can 't live on this island .
Hast du das schon gelesen ?,Have you read this yet ?,Have you read this yet ?
Er ist ja so gutaussehend !,He 's so good looking !,He 's so handsome !
Wir werden eine internationale Handelsmesse diesen Monat hier haben .,We are having an international trade fair this month .,We will have an international trade fair here this month .
Ich warte schon seit Stunden auf dich .,I 've been waiting for you for hours .,I 've been waiting for you for hours .
Das habe ich schon ewig nicht mehr gemacht .,I haven 't done this in ages .,I haven 't done that in ages .
"Tom und Maria haben gerade erst geheiratet , doch benehmen sich nicht wie Jungvermählte .","Tom and Mary just got married , but they don 't act like newlyweds .","Tom and Maria have only just got married , but do not act like a newlyweds ."
"Ich weiß , du hast mich als engen Freund angesehen .",I know you considered me a close friend .,I know you 've seen me as a close friend .
Du bist uns weit voraus .,You 're way ahead of us .,You 're way ahead of us .
"Erzähle mir , woran erinnerst du dich ?","Tell me , what do you remember ?","Tell me , what do you remember ?"
Alle hatten Kopfhörer auf .,Everybody was wearing headphones .,They all had headphones on .
"Er sagte , er gehe jeden Morgen im Park spazieren .",He said that he takes a walk in the park every morning .,He said he went for a walk in the park every morning .
"Ich habe zwar noch keine hochbezahlte Stelle , hoffe aber , irgendwann eine zu bekommen .","I don 't have a high @-@ paying job yet , but I hope to , eventually .","I don 't have a high @-@ paid job yet , but I hope to get one at some point ."
"Ich denke , ich muss mich mal etwas an die Arbeit machen für die Prüfung .",I think I have to get moving with some work for the exams .,I think I need to get some work done for the exam .
"Nun , da er weg ist , fehlt er uns sehr .","Now that he has gone , we miss him very much .","Well , since he 's gone , we miss him a lot ."
"Ich hätte nicht gedacht , dass es so schwer ist , einen Picknicktisch zu bauen .",I never thought it 'd be this hard to build a picnic table .,I didn 't think it was so hard to build a picnic table .
"Glaubst du , Tom wäre bereit , mir zu zeigen , wie das geht ?",Do you think Tom would be willing to show me how to do that ?,You think Tom would be ready to show me how to do that ?
Wann machst du Pause ?,What time do you have a break ?,When are you taking a break ?
"Meinst du wirklich , dass sie mit mir ausginge ?",Do you really think she 'd go out with me ?,You really think she 's going out with me ?
"Niemand weiß , dass ich euch mag .",No one knows that I like you .,No one knows I like you .
Tom setzte sich auf einen freien Stuhl .,Tom sat down on an empty chair .,Tom sat down on a free chair .
Es herrschte betretenes Schweigen .,There was an awkward pause .,There was an invaded silence .
Der Mann schien vor Erregung ganz außer sich zu sein .,The man seemed to be beside himself with excitement .,The man seemed to be out of his mind with arousal .
Die Japaner nehmen es mit der Religion nicht so genau .,Japanese are not so particular about religion .,The Japanese do not take it so closely with religion .
"Tom ging ins Ausland , um dort Französisch zu lernen .",Tom went abroad to study French .,Tom went abroad to learn French .
Bist du tapfer ?,Are you brave ?,Are you brave ?
Ich muss dringend zum Zahnarzt .,I urgently need to go to the dentist .,I need to see a dentist .
Toms Eltern haben studiert .,Tom 's parents went to college .,Tom 's parents have been studying .
Du bist keine Kanadierin .,You aren 't Canadian .,You 're not a Canadian .
"Er gibt ihr alles , um was sie ihn bittet .",He gives her everything she asks for .,He gives her everything she asks .
"Tom kam , obwohl es regnete .",Tom came even though it was raining .,Tom came even though it was raining .
"Sie wollen doch wohl nicht laufen , oder ?","You 're not going to walk , are you ?","You don 't want to walk , do you ?"
Tom hat unser Hilfsangebot abgelehnt .,Tom turned down our offer to help .,Tom turned down our aid offer .
"Du bist in ihn verknallt , stimmt ' s ?","You have a crush on him , don 't you ?","You 're in love with him , right ?"
Tom ist glücklich .,Tom is happy .,Tom is happy .
Tom bleibt in Boston .,Tom remains in Boston .,Tom 's staying in Boston .
Wie lange lernst du schon Französisch ?,How long have you been studying French ?,How long have you been learning French ?
"Ich glaube , du solltest dich bei Tom entschuldigen .",I think you should apologize to Tom .,I think you should apologize to Tom .
"Tom sagte , Sie wohnen in Boston .",Tom said you lived in Boston .,Tom said you lived in Boston .
Willst du den Keks da nicht essen ?,Aren 't you going to eat that cookie ?,Don 't you want to eat that cookie ?
"Als ich nach Hause kam , übte Tom gerade Klavier .","When I came home , Tom was practicing piano .","When I got home , Tom was practicing piano ."
"Ich weiß nicht , warum Tom wütend auf mich ist .",I don 't know why Tom is mad at me .,I don 't know why Tom is mad at me .
Der Patient ist im Moment außer Gefahr .,The patient is out of danger now .,The patient is out of danger right now .
"Beachte , dass das Maximum nicht immer existiert .",Note that the maximum doesn 't always exist .,Note that the maximum does not always exist .
Ich verscheuche die Spatzen .,I am scaring the sparrows away .,I 'm gonna get rid of the sparrows .
Ihr Artikel war enttäuschend .,Your article was disappointing .,Your article was disappointing .
Ich bin deine beste Freundin .,I 'm your best friend .,I 'm your best friend .
Sie isst gerne Pappelpflaumen .,She likes red bayberries .,She likes poplums .
Sie steht um 7 Uhr auf .,She gets up at seven .,She 's getting up at 7 : 00 .
Ich wurde am 23. März 1969 in Barcelona geboren .,"I was born in Barcelona on March 23 , 1969 .","I was born on March 23 , 1969 in Barcelona ."
Was wollen Frauen ?,What do women want ?,What do women want ?
"Ich will , dass es geschehe !",I want it to happen .,I want it done !
"Du willst anscheinend wissen , was du tun sollst .",You seem to want to know what to do .,You seem to want to know what to do .
"Es fällt mir schwer , von dem Platz , den die Lehrerin mir zugewiesen hat , die Tafel zu sehen .",I have trouble seeing the blackboard from the seat the teacher assigned to me .,It 's hard for me to see the table from the place the teacher assigned me .
Schau dir die schneebedeckten Berge an !,Look at the mountains covered with snow .,Look at the snow @-@ covered mountains !
"Du kannst ihr sagen , dass sie sich keine Sorgen zu machen braucht .",You can tell her not to worry .,You can tell her she doesn 't have to worry .
Heute gibt es nichts zu tun .,There is nothing to do today .,There 's nothing to do today .
"Ich tu alles für dich , du brauchst hier also nur zu warten .","I 'll do everything for you , so you have only to wait here .","I 'll do anything for you , so all you have to do is wait here ."
"Ich war mir nicht sicher , ob Tom schon gegessen hatte .",I wasn 't sure if Tom had eaten yet .,I wasn 't sure Tom had already eaten .
Ich habe Tom erst vor einer Weile hier im Park gesehen .,I saw Tom here in the park just a while ago .,I only saw Tom here in the park a while ago .
In Hiroshima gibt es einen Ort namens Kuchiwa .,There 's a place called Kuchiwa in Hiroshima .,In Hiroshima there is a place called Kuchiwa .
"Maria hat gesagt , dass sie Tom kenne .",Mary said she knew Tom .,Maria said she knew Tom .
Stecke deine Nase nicht in anderer Leute Angelegenheiten .,Mind your own business .,Don 't put your nose in other people 's affairs .
Tom war sich unsicher .,Tom wasn 't sure .,Tom was unsure .
Ich hielt dich für meine beste Freundin .,I thought you were my best friend .,I thought you were my best friend .
Er wurde bei dem Autounfall schwer verletzt .,He was seriously injured in the car accident .,He was seriously injured in the car accident .
"Gibt es ein anderes Wort für "" Synonym "" ?",Is there another word for synonym ?,"Is there another word for "" synonym "" ?"
Ich habe gar nicht geweint .,I didn 't actually cry .,I didn 't cry at all .
Ich durchschaute ihr Komplott sofort .,I saw through their plot at once .,I looked through her plot right now .
"Tom weigerte sich , die Dokumente zu unterschreiben .",Tom refused to sign the documents .,Tom refused to sign the documents .
Unterschätze nicht meine Macht !,Don 't underestimate my power .,Don 't underestimate my power !
"Tom und Maria sagten Johannes , sie glaubten , dass Elke skeptisch sei .",Tom and Mary told John that they thought Alice was skeptical .,Tom and Mary told John that they believed that Elke was skeptical .
Keine Bewegung !,Freeze !,Don 't move !
Ab wann haben Sie Ausgangssperre ?,What time 's your curfew ?,When do you get a curfew ?
"Das Kind macht das Fenster auf , obwohl seine Mutter es ihm verboten hat .",The child is opening the window even though his mother forbade him to .,The child opens the window even though his mother told him not to .
Tom war davon wenig begeistert .,Tom was unenthusiastic about that .,Tom was not very excited about it .
Was sind die hauptsächlichen Gründe dieser negativen Begleiterscheinungen ?,What are the main reasons behind these negative concomitants ?,What are the main reasons for these negative side effects ?
Sie sind mit dem Schiff gereist .,They traveled by boat .,They went by ship .
Dieser Roman der wissenschaftlichen Fiktion ist sehr interessant .,This science @-@ fiction novel is very interesting .,This novel of scientific fiction is very interesting .
Tom wird dich dort treffen .,Tom will meet you there .,Tom will meet you there .
Tom ist nutzlos .,Tom 's useless .,Tom is useless .
Ich brauche keine Erinnerung .,I don 't need reminding .,I don 't need a memory .
Sie besuchte den alten Mann jeden Tag außer Sonntag im Krankenhaus .,She visited the old man in the hospital every day but Sunday .,She visited the old man every day except Sunday at the hospital .
Ich habe sie ein Lied singen gehört .,I heard her sing a song .,I heard her sing a song .
Er ist oft auf Geschäftsreise im Ausland .,He often goes abroad on business .,He 's often on a business trip abroad .
Einer der Fahrgäste ging nach vorne und sprach mit dem Busfahrer .,One of the passengers went to the front of the bus and talked to the driver .,One of the passengers went forward and talked to the bus driver .
Tom blickte zurück .,Tom glanced back .,Tom looked back .
Tom verlor seine Geduld .,Tom lost his temper .,Tom lost his patience .
Du kannst nicht in kurzer Zeit Englisch im Griff haben .,You can not master English in a short time .,You can 't have English under control in a short time .
Sie ist sehr kindisch .,She 's very childish .,She 's very childish .
Das große Gebäude ist vom Fenster aus zu sehen .,The high building can be seen from the window .,The large building can be seen from the window .
Heute Morgen war es sehr kalt .,This morning it was very cold .,It was very cold this morning .
"Was mich am meisten störte , war der Krach .",What disturbed me the most was the noise .,What bothered me the most was the noise .
Ich habe einen deutschen Wagen .,My car is German .,I have a German car .
Ich schäme mich meines schlechten Englisch .,I am ashamed of my poor English .,I 'm ashamed of my bad English .
Finden Sie ihn attraktiv ?,Do you find him attractive ?,Do you think he 's attractive ?
Ich will eigentlich nicht in Boston leben .,I don 't really want to live in Boston .,I don 't really want to live in Boston .
"Tom weiß nicht , ob Maria Kürbiskuchen mag oder nicht .",Tom doesn 't know if Mary likes pumpkin pie or not .,Tom doesn 't know if Maria likes pumpkin cake or not .
"Eltern bringen oft Opfer , um ihren Kindern eine gute Ausbildung zu geben .",Parents often make sacrifices to give a good education to their children .,Parents often make sacrifices to give their children a good education .
"Weder bin ich alt , noch bist du es .","Neither am I old , nor are you .","I 'm not old , nor are you ."
Die meisten der Feiernden sind Touristen .,Most of the revellers are tourists .,Most of the parties are tourists .
Ich bin Diabetiker .,I 'm a diabetic .,I 'm a diabetic .
Sydney ist weit von hier .,Sydney is far from here .,Sydney 's a long way from here .
Das war nicht deine Entscheidung .,That wasn 't your decision to make .,That wasn 't your decision .
Das Flugzeug ermöglicht Überschallgeschwindigkeiten .,The airplane is capable of supersonic speeds .,The plane allows over @-@ sound speeds .
James Cook war ein britischer Entdecker .,James Cook was a British explorer .,James Cook was a British explorer .
Ich glaube an Ken .,I believe in Ken .,I believe in Ken .
Wir sind in der zweiten Woche einer unerbittlichen Hitzewelle .,We 're in the second week of an unrelenting heat wave .,We 're in the second week of a relentless heat wave .
Es ist ein unerwarteter Fehler aufgetreten .,An unexpected error has occurred .,An unexpected error has occurred .
Ich schreibe in meiner Freizeit Gedichte .,I write poems in my free time .,I write poems in my free time .
Ohne ihre Hilfe könnte ich meinen Auftrag nicht beenden .,"Without her help , I could not finish my task .","Without her help , I couldn 't finish my job ."
Setzt euch mit Tom in Verbindung .,Contact Tom .,Get in touch with Tom .
Du musst zuhören .,You have to listen .,You have to listen .
Meinen Erfolg verdanke ich ihrer Hilfe .,I owe my success to her help .,I owe my success to her help .
Kennst du meinen Bruder Masao ?,Do you know my brother Masao ?,Do you know my brother Masao ?
Mir tut der Rücken weh .,My back hurts .,My back hurts .
Sie ist ein sehr nettes Mädchen .,She 's a very nice girl .,She 's a very nice girl .
Sie haben die Frage nie beantwortet .,You never answered the question .,You never answered the question .
Niemand wird ihr glauben .,No one will believe her .,No one will believe her .
"Sie liefen los , als sie die Polizei sahen .",They began to run when they saw the police .,They ran away when they saw the police .
"Ich bin nicht hier , um Ihnen zu helfen .",I 'm not here to help you .,I 'm not here to help you .
"Entschuldigen Sie , aber ich glaube , das ist mein Platz .","Excuse me , but I believe that is my seat .","Excuse me , but I think this is my place ."
Ich bin sehr unglücklich .,I 'm very sad .,I 'm very unhappy .
"Er lief so schnell , dass wir ihn nicht einholen konnten .",He ran so fast that we couldn 't catch up with him .,He ran so fast we couldn 't catch up with him .
Die Durchschnittstemperatur ist gestiegen .,The average temperature has gone up .,The average temperature has increased .
""" Chef "" wurde so konzipiert , dass Programme wie Kochrezepte aussehen .",""" Chef "" is designed to make programs look like cooking recipes .",""" Chef "" was designed to make programs look like cooking recipes ."
"Du musst deiner Zunge beibringen , guten von schlechtem Kaffee zu unterscheiden .",You must educate your tongue to distinguish good coffee from bad .,You have to teach your tongue to distinguish good from bad coffee .
"Ich glaube , ein Mann beobachtet unsere Wohnung .",I think that a man is watching our apartment .,I think a man is watching our apartment .
"Ja , auf jeden Fall .","Yes , by all means .","Yeah , definitely ."
Falsche / fehlende Buchstaben in den Textdaten korrigieren .,・ Corrected mistaken / missing characters in the text data .,Correct wrong / missing letters in the text data .
Am nächsten Tag hatten wir alle einen schrecklichen Kater .,"On the following day , we all had terrible hangovers .","The next day , we all had a terrible hangover ."
Weißt du etwas über Toms Kindheit ?,Do you know anything about Tom 's childhood ?,Do you know anything about Tom 's childhood ?
Frohe Weihnachten und ein gutes neues Jahr !,Merry Christmas and a Happy New Year !,Merry Christmas and a Happy New Year !
Könnten Sie langsamer reden ?,Would you speak more slowly ?,Could you slow down ?
Was bringt dich auf den Gedanken ?,What makes you think that ?,What brings you to mind ?
Tom hat letztes Jahr die Schule gewechselt .,Tom changed schools last year .,Tom changed school last year .
"Wenn ich tausend Bücher auf Englisch lese , kann ich es dann fließend ?","If I read a thousand books in English , will I become fluent in it ?","When I read a thousand books in English , can I be fluent ?"
Sie können mich verstehen .,They can understand me .,You can understand me .
Das Geheimnis der langen Ehe ? Ganz einfach : Man muss nur die richtige Frau finden und alt genug werden .,The secret of a long @-@ lasting marriage ? It 's very simple : you just need to find the right woman and get old enough .,The secret of long marriage ? It 's simple : you just have to find the right woman and get old enough .
Der Mond steht am Himmel .,The moon is in the sky .,The moon is in the sky .
"Ich möchte , dass du an der Besprechung morgen teilnimmst .",I 'd like you to attend the meeting tomorrow .,I want you to take part in the meeting tomorrow .
"Schön hier , oder ?","Nice place , huh ?","It 's nice here , isn 't it ?"
Ich mag leichte Schuhe .,I like light shoes .,I like light shoes .
Tom steckt tief in Schwierigkeiten .,Tom is in a lot of trouble .,Tom 's in deep trouble .
"Die Reise war schön , allerdings ermüdend .","The journey was lovely , though exhausting .","The journey was beautiful , but tiring ."
Ich bin ein wenig müde .,I 'm a little tired .,I 'm a little tired .
Der größte Künder zukünftigen Verhaltens ist das Verhalten der Vergangenheit .,The greatest predictor of future behaviour is past behaviour .,The greatest cause of future behaviour is the behaviour of the past .
Wie wirst du dein Haar färben ?,What color are you going to dye your hair ?,How will you color your hair ?
"Wer rastet , der rostet .",Too much rest is rust .,"He who rust , he who rust ."
Wir werden diese Angelegenheit bei der Besprechung diskutieren .,We will debate this subject at the meeting .,We will discuss this matter at the meeting .
